"ID_CLI","IDENTIFICACION_CLI","NOMBRE_CLI","TIPO_CLI","SUCURSAL_CLI","APS_CLI","ID_PLZ_CLI","ID_CAL_CLI"
"1","2975124003","Charles White","N","LOJA","Williams, Atkins and Johnson","143","1"
"2","8025302475","Mrs. Melissa Thompson","N","CUENCA","Walters, Shields and Mosley","68","1"
"3","8772939414","Angela Cruz","J","LOJA","Anderson Inc","354","2"
"4","4464439662","Renee Harris","J","QUITO","Nguyen, Fitzgerald and Robertson","577","1"
"5","7410475336","Molly Vincent","J","QUITO","Cobb PLC","9","2"
"6","3999161768","Jeffery Smith","J","EL COCA","Rocha Ltd","82","1"
"7","9237345697","Cody Moreno","J","LOJA","Wood, Williams and Green","341","3"
"8","2632585839","Angela Garcia","N","MACHALA","Henry and Sons","587","5"
"9","6502671845","Kimberly Estrada MD","J","QUITO","Alexander-Williams","546","2"
"10","9155273840","Pamela Williams","N","PORTOVIEJO","Wallace-Jenkins","371","4"
"11","6560762141","Robert Reynolds","J","CUENCA","Leonard, Wright and Watson","420","4"
"12","3812075816","Samantha Fowler","J","QUITO","Wright, Garza and Hughes","406","3"
"13","5751660259","Marcus Morris","N","MACHALA","Hudson PLC","283","4"
"14","9472904493","Taylor Carlson","E","CUENCA","Dunn and Sons","37","1"
"15","8053893231","Crystal Brown","N","QUITO","Myers and Sons","433","4"
"16","5077443343","William Butler","N","QUITO","Valdez Ltd","131","2"
"17","8494727024","Robert Brock","N","QUITO","Hall and Sons","382","4"
"18","7110270771","Brittany Cochran","N","QUITO","Anderson, Mccullough and Hudson","175","3"
"19","7519023684","Martha Moore","N","QUITO","Thompson-Wheeler","254","5"
"20","7653740481","Dr. Kimberly Foster","N","QUITO","Palmer-Glover","79","2"
"21","2857050060","Candace Thompson","N","QUITO","Grimes-Daniel","461","2"
"22","2434621091","Donald Nunez","N","QUITO","Mcgee-Harris","171","4"
"23","8708611931","Victoria Keller","N","QUITO","Shields Inc","397","3"
"24","8925145596","Stacey Brown","N","QUITO","Friedman, Aguilar and Gonzalez","244","3"
"25","6978936657","Miss Caitlin Mclean","N","QUITO","Jones, Rowe and Waller","303","4"
"26","2882416511","Dan Farley","N","QUITO","Arnold-Shaffer","163","4"
"27","4576494203","David Nguyen","N","QUITO","Burns-Harper","13","4"
"28","9900652905","Mary Ford","N","QUITO","Farrell PLC","456","5"
"29","5129811624","Kristy Murphy","N","QUITO","Wilson LLC","57","3"
"30","6251093535","Caroline Martinez","N","QUITO","Hunter, Murray and Cox","480","3"
"31","7353898908","Daniel Mendez","N","QUITO","Johnson, Marquez and Scott","1","4"
"32","2297621290","Angel Holmes","N","QUITO","Ellis-Morris","155","5"
"33","1286249510","Andrew Gardner","N","QUITO","Miller-Walker","435","1"
"34","8775171886","Susan Caldwell","N","QUITO","Rodriguez Ltd","438","4"
"35","3688804068","Jasmine Smith","N","QUITO","Shaw Ltd","281","5"
"36","4065880884","Noah Leonard","N","QUITO","Munoz Ltd","59","2"
"37","6581578196","Jennifer Anderson","N","QUITO","Dawson PLC","595","1"
"38","5320528132","Jon West","N","QUITO","Jones, Caldwell and Porter","145","4"
"39","5560278956","Brenda Cochran","N","QUITO","Fry, Martin and Anderson","310","5"
"40","4165459908","Melissa Edwards","N","QUITO","Mitchell PLC","523","1"
"41","6922869634","Morgan Francis","N","QUITO","Smith, Avila and Pena","154","4"
"42","4852295725","Tammy Williams","N","QUITO","Gonzalez, Perez and Lang","375","5"
